skill_id,skill_name,cast_time,aftercast,recharge,type,profession,attribute,energy_cost,sacrifice,adrenaline,combo,weapon_req,combo_req,target
0,(none),0.0,0.0,0.0,0,0,51,0,0,0,0,0,0,0
1,Healing Signet,2.0,0.75,4.0,7,1,21,0,0,0,0,0,0,0
2,Resurrection Signet,3.0,0.0,0.0,7,0,51,0,0,0,0,0,0,6
3,Signet of Capture,2.0,0.25,2.0,7,0,51,0,0,0,0,0,0,0
4,BAMPH!,0.0,0.0,0.0,10,0,51,0,0,0,0,0,0,1
5,Power Block,0.25,0.75,20.0,5,5,2,15,0,0,0,0,0,5
6,Mantra of Earth,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
7,Mantra of Flame,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
8,Mantra of Frost,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
9,Mantra of Lightning,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
10,Hex Breaker,0.0,0.0,15.0,3,5,2,5,0,0,0,0,0,0
11,Distortion,0.0,0.0,8.0,3,5,1,5,0,0,0,0,0,0
12,Mantra of Celerity,0.0,0.0,20.0,3,5,0,15,0,0,0,0,0,0
13,Mantra of Recovery,0.0,0.0,15.0,3,5,0,5,0,0,0,0,0,0
14,Mantra of Persistence,0.0,0.0,15.0,3,5,3,5,0,0,0,0,0,0
15,Mantra of Inscriptions,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
16,Mantra of Concentration,0.0,0.0,30.0,3,5,3,5,0,0,0,0,0,0
17,Mantra of Resolve,0.0,0.0,20.0,3,5,3,10,0,0,0,0,0,0
18,Mantra of Signets,0.0,0.0,20.0,3,5,3,5,0,0,0,0,0,0
19,Fragility,1.0,0.75,5.0,4,5,1,5,0,0,0,0,0,5
20,Confusion,2.0,0.75,20.0,4,5,1,15,0,0,0,0,0,5
21,Inspired Enchantment,1.0,0.75,0.0,5,5,3,10,0,0,0,0,0,5
22,Inspired Hex,1.0,0.75,0.0,5,5,3,5,0,0,0,0,0,3
23,Power Spike,0.25,0.75,12.0,5,5,2,5,0,0,0,0,0,5
24,Power Leak,0.25,0.75,20.0,5,5,2,10,0,0,0,0,0,5
25,Power Drain,0.25,0.75,20.0,5,5,3,5,0,0,0,0,0,5
26,Empathy,2.0,0.75,10.0,4,5,2,10,0,0,0,0,0,5
27,Shatter Delusions,0.25,0.75,6.0,5,5,2,5,0,0,0,0,0,5
28,Backfire,3.0,0.75,20.0,4,5,2,15,0,0,0,0,0,5
29,Blackout,1.0,0.75,12.0,10,5,2,10,0,0,0,0,0,5
30,Diversion,3.0,0.75,12.0,4,5,2,10,0,0,0,0,0,5
31,Conjure Phantasm,1.0,0.75,5.0,4,5,1,10,0,0,0,0,0,5
32,Illusion of Weakness,2.0,0.75,30.0,6,5,1,10,0,0,0,0,0,0
33,Illusionary Weaponry,1.0,0.75,25.0,6,5,1,5,0,0,0,0,0,0
34,Sympathetic Visage,1.0,0.75,20.0,6,5,1,10,0,0,0,0,0,3
35,Ignorance,1.0,0.75,10.0,4,5,2,15,0,0,0,0,0,5
36,Arcane Conundrum,2.0,0.75,20.0,4,5,1,10,0,0,0,0,0,5
37,Illusion of Haste,1.0,0.75,5.0,6,5,1,5,0,0,0,0,0,0
38,Channeling,1.0,0.75,15.0,6,5,3,5,0,0,0,0,0,0
39,Energy Surge,2.0,0.75,15.0,5,5,2,5,0,0,0,0,0,5
40,Ether Feast,1.0,0.75,8.0,5,5,3,5,0,0,0,0,0,5
41,Ether Lord,2.0,0.75,20.0,4,5,3,5,0,0,0,0,0,5
42,Energy Burn,2.0,0.75,20.0,5,5,2,10,0,0,0,0,0,5
43,Clumsiness,2.0,0.75,8.0,4,5,1,10,0,0,0,0,0,5
44,Phantom Pain,2.0,0.75,15.0,4,5,1,5,0,0,0,0,0,5
45,Ethereal Burden,1.5,0.75,30.0,4,5,1,15,0,0,0,0,0,5
46,Guilt,2.0,0.75,25.0,4,5,2,5,0,0,0,0,0,5
47,Ineptitude,1.0,0.75,15.0,4,5,1,10,0,0,0,0,0,5
48,Spirit of Failure,3.0,0.75,20.0,4,5,3,15,0,0,0,0,0,5
49,Mind Wrack,1.0,0.75,7.0,4,5,2,5,0,0,0,0,0,5
50,Wastrel's Worry,0.25,0.75,1.0,4,5,2,5,0,0,0,0,0,5
51,Shame,2.0,0.75,30.0,4,5,2,10,0,0,0,0,0,5
52,Panic,1.0,0.75,15.0,4,5,2,10,0,0,0,0,0,16
53,Migraine,2.0,0.75,12.0,4,5,1,10,0,0,0,0,0,5
54,Crippling Anguish,1.0,0.75,12.0,4,5,1,5,0,0,0,0,0,5
55,Fevered Dreams,2.0,0.75,10.0,4,5,1,10,0,0,0,0,0,5
56,Soothing Images,2.0,0.75,8.0,4,5,1,15,0,0,0,0,0,16
57,Cry of Frustration,0.25,0.75,15.0,5,5,2,10,0,0,0,0,0,5
58,Signet of Midnight,2.0,0.75,10.0,7,5,51,0,0,0,0,0,0,5
59,Signet of Weariness,2.0,0.75,30.0,7,5,2,0,0,0,0,0,0,5
60,Signet of Illusions,1.0,0.75,10.0,7,5,1,0,0,0,0,0,0,0
61,Leech Signet,0.25,0.75,30.0,7,5,3,0,0,0,0,0,0,5
62,Signet of Humility,3.0,0.75,20.0,7,5,3,0,0,0,0,0,0,5
63,Keystone Signet,1.0,0.75,15.0,7,5,0,0,0,0,0,0,0,0
